"filename", "language", "JSON", "vue", "JavaScript", "comment", "blank", "total"
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\package-lock.json", "JSON", 187, 0, 0, 0, 0, 187
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\package.json", "JSON", 2, 0, 0, 0, 0, 2
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\Community.vue", "vue", 0, 18, 0, 0, 1, 19
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\Hwsd.vue", "vue", 0, 1148, 0, 10, 90, 1248
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\Knowledge.vue", "vue", 0, 462, 0, 1, 42, 505
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\Market.vue", "vue", 0, 21, 0, 0, 2, 23
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\PriceInfo.vue", "vue", 0, 450, 0, 3, 37, 490
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\ProductInfo.vue", "vue", 0, 406, 0, 10, 41, 457
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\Profit.vue", "vue", 0, 421, 0, 2, 32, 455
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\SoilType.vue", "vue", 0, 694, 0, 11, 75, 780
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\TopicVue.vue", "vue", 0, 693, 0, 5, 45, 743
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\User.vue", "vue", 0, 60, 0, 0, 13, 73
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\VerifyCompany.vue", "vue", 0, 891, 0, 7, 63, 961
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\VerifyID.vue", "vue", 0, 907, 0, 7, 62, 976
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\admin.js", "JavaScript", 0, 0, 169, 2, 7, 178
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\company.js", "JavaScript", 0, 0, 34, 1, 3, 38
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\recommend.js", "JavaScript", 0, 0, 6, 0, 0, 6
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\router\index.js", "JavaScript", 0, 0, 14, -1, -5, 8
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\Layout.vue", "vue", 0, -1, 0, 2, 0, 1
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\LayoutAdmin.vue", "vue", 0, 6, 0, 0, 2, 8
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\commpany\Commpany.vue", "vue", 0, 211, 0, 4, 14, 229
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\commpany\Detailinfo.vue", "vue", 0, 134, 0, 0, 9, 143
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\commpany\Knowledge.vue", "vue", 0, 0, 0, 0, 1, 1
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropcategory.vue", "vue", 0, 1, 0, 0, 0, 1
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropcategorychild.vue", "vue", 0, 1, 0, 0, 0, 1
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropparam.vue", "vue", 0, 43, 0, 0, 7, 50
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\TreeInfo.vue", "vue", 0, 1, 0, 0, 0, 1
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\homepage\Homepage.vue", "vue", 0, 18, 0, 0, 0, 18
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Soiltype.vue", "vue", 0, 1, 0, 0, -1, 0
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\RecommendCost.vue", "vue", 0, 617, 0, 2, 14, 633
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\RecommendIndex.vue", "vue", 0, 34, 0, 4, 1, 39
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\History.vue", "vue", 0, 4, 0, 0, 2, 6
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\Profile.vue", "vue", 0, 15, 0, 0, 0, 15
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\Verifyinfo.vue", "vue", 0, 1, 0, 0, 0, 1
"Total", "-", 189, 7257, 223, 70, 557, 8296